year,month,date,site,transect,QUAD,SIDE,SP_CODE,SIZE,COUNT,AREA,VIS,OBS_CODE,SURVEY_TIMING,NOTES,TAXON_GENUS,TAXON_SPECIES,GROUP,SURVEY,TAXON_KINGDOM,TAXON_PHYLUM,TAXON_CLASS,TAXON_ORDER,TAXON_FAMILY,TAXON_FORMER_GENUS,TAXON_FORMER_SPECIES,COMMON_NAME,Substrate_type,Mobility,Growth_morph
2001,8,8/23/05,ABUR1,1,20,-99999,CLIN,5,1,20,-99999,6,A,-99999,Gibbonsia,spp.,FISH,CRYPTIC FISH,Animalia,Chordata,Actinopterygii,Perciformes,Clinidae,-99999,-99999,Crevice Kelpfish,HARD,MOBILE,SOLITARY
2001,8,8/23/05,ABUR1,1,40,-99999,COTT,5,1,20,-99999,6,A,-99999,Cottid,spp.,FISH,CRYPTIC FISH,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,-99999,-99999,Unidentified Sculpin Spp,HARD,MOBILE,SOLITARY
2001,8,8/23/05,ABUR1,1,-99999,-99999,EJAC,15,1,80,3,3,A,-99999,Embiotoca,jacksoni,FISH,FISH,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,-99999,-99999,Black Surfperch,HARD,MOBILE,SOLITARY
2001,8,8/23/05,ABUR1,1,-99999,-99999,EJAC,18,1,80,3,3,A,-99999,Embiotoca,jacksoni,FISH,FISH,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,-99999,-99999,Black Surfperch,HARD,MOBILE,SOLITARY
2001,8,8/23/05,BRCD,1,-99999,-99999,EJAC,20,4,80,3,3,A,-99999,Embiotoca,jacksoni,FISH,FISH,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,-99999,-99999,Black Surfperch,HARD,MOBILE,SOLITARY
2001,8,8/23/05,BRCD,1,-99999,-99999,OCAL,15,1,80,3,3,A,-99999,Oxyjulis,californica,FISH,FISH,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,-99999,-99999,Senorita,HARD,MOBILE,SOLITARY
2001,8,8/23/05,BRCD,1,-99999,-99999,OCAL,20,1,80,3,3,A,-99999,Oxyjulis,californica,FISH,FISH,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,-99999,-99999,Senorita,HARD,MOBILE,SOLITARY
2001,8,8/23/05,BRCD,1,40,-99999,OPIC,7,1,20,-99999,6,A,-99999,Oxylebius,pictus,FISH,CRYPTIC FISH,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,-99999,-99999,Painted Greenling,HARD,MOBILE,SOLITARY
2001,8,8/23/05,BRCD,1,40,-99999,OPIC,10,1,20,-99999,6,A,-99999,Oxylebius,pictus,FISH,CRYPTIC FISH,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,-99999,-99999,Painted Greenling,HARD,MOBILE,SOLITARY
2001,8,8/23/05,AJFG,1,40,-99999,OPIC,11,1,20,-99999,6,A,-99999,Oxylebius,pictus,FISH,CRYPTIC FISH,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,-99999,-99999,Painted Greenling,HARD,MOBILE,SOLITARY
2001,8,8/23/05,AJFG,1,40,-99999,OPIC,14,1,20,-99999,6,A,-99999,Oxylebius,pictus,FISH,CRYPTIC FISH,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,-99999,-99999,Painted Greenling,HARD,MOBILE,SOLITARY
2001,8,8/23/05,AJFG,1,40,-99999,OPIC,19,1,20,-99999,6,A,-99999,Oxylebius,pictus,FISH,CRYPTIC FISH,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,-99999,-99999,Painted Greenling,HARD,MOBILE,SOLITARY
2001,8,8/23/05,AJFG,1,-99999,-99999,PNEB,25,1,80,3,3,A,-99999,Paralabrax,nebulifer,FISH,FISH,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,-99999,-99999,Barred Sandbass,HARD,MOBILE,SOLITARY
2002,7,7/13/06,AJFG,1,-99999,-99999,-9999,-99999,-99999,80,-99999,3,S,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
2002,9,9/11/06,LKEM,1,-99999,-99999,-9999,-99999,-99999,80,-99999,3,S,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
2002,11,11/22/06,LKEM,1,-99999,-99999,-9999,-99999,-99999,80,-99999,3,S,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
2002,12,12/10/06,LKEM,1,-99999,-99999,-9999,-99999,-99999,80,-99999,3,S,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
2002,8,8/10/06,LKEM,1,-99999,-99999,BFRE,4,1,80,3,2,S,-99999,Brachyistius,frenatus,FISH,FISH,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,-99999,-99999,Kelp Surfperch,HARD,MOBILE,SOLITARY
2002,8,8/21/06,LKEM,1,-99999,-99999,BFRE,8,7,80,3,3,A,-99999,Brachyistius,frenatus,FISH,FISH,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,-99999,-99999,Kelp Surfperch,HARD,MOBILE,SOLITARY
